starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:23:15 2016	1482438195846344	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195846846	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195847845	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195848846	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195849346	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195849846	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195850847	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195851348	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195851848	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195852848	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195853349	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195853849	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195854849	1	2	3	0
Thu Dec 22 21:23:15 2016	1482438195855851	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195856351	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195856851	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195857352	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195858352	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195858853	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195859853	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195860353	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195860854	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195861354	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195862355	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195862855	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195863357	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195863856	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195864859	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195865357	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195866357	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195866858	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195867358	1	3	4	1
Thu Dec 22 21:23:15 2016	1482438195868359	1	6	7	0
Thu Dec 22 21:23:15 2016	1482438195869359	0	7	7	6
Thu Dec 22 21:23:15 2016	1482438195869862	0	7	7	6
Thu Dec 22 21:23:15 2016	1482438195870360	1	6	7	5
Thu Dec 22 21:23:15 2016	1482438195871361	4	2	6	2
Thu Dec 22 21:23:15 2016	1482438195875864	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195876366	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195876865	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195877365	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195877866	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195878866	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195879367	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195879867	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195880367	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195881369	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195881868	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195882868	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195883369	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195883870	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195884370	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195884870	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195885871	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195886371	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195886872	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195887872	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195888374	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195888874	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195889373	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195890373	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195890873	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195891373	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195892377	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195893375	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195893876	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195894375	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195894876	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195895877	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195896377	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195896878	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195897380	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195898378	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195898879	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195899379	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195899880	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195900380	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195901380	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195901881	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195902382	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195903382	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195903882	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195904382	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195904883	0	5	5	1
Thu Dec 22 21:23:15 2016	1482438195905383	1	4	5	4
Thu Dec 22 21:23:15 2016	1482438195906384	0	5	5	3
Thu Dec 22 21:23:15 2016	1482438195906885	0	5	5	3
Thu Dec 22 21:23:15 2016	1482438195907384	2	3	5	3
Thu Dec 22 21:23:15 2016	1482438195909886	0	4	4	2
Thu Dec 22 21:23:15 2016	1482438195910886	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195911387	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195911888	1	3	4	3
Thu Dec 22 21:23:15 2016	1482438195912889	1	3	4	2
Thu Dec 22 21:23:15 2016	1482438195913889	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195914390	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195914890	1	7	8	7
Thu Dec 22 21:23:15 2016	1482438195915890	1	7	8	6
Thu Dec 22 21:23:15 2016	1482438195916891	0	7	7	5
Thu Dec 22 21:23:15 2016	1482438195917392	0	8	8	7
