starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:18:36 2016	1482437916556152	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916556653	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916557653	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916559153	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916560155	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916561657	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916562657	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916563156	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916564157	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916565157	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916566158	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916567159	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916568160	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916569160	0	6	6	2
Thu Dec 22 21:18:36 2016	1482437916570161	1	5	6	1
Thu Dec 22 21:18:36 2016	1482437916571662	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916572162	1	5	6	4
Thu Dec 22 21:18:36 2016	1482437916573164	1	6	7	2
Thu Dec 22 21:18:36 2016	1482437916575665	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916576165	1	5	6	5
Thu Dec 22 21:18:36 2016	1482437916578166	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916579667	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916580668	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916581168	1	5	6	5
Thu Dec 22 21:18:36 2016	1482437916582669	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916583670	1	9	10	2
Thu Dec 22 21:18:36 2016	1482437916584672	1	9	10	1
Thu Dec 22 21:18:36 2016	1482437916586172	1	9	10	9
Thu Dec 22 21:18:36 2016	1482437916588173	0	9	9	8
Thu Dec 22 21:18:36 2016	1482437916588673	5	4	9	2
Thu Dec 22 21:18:36 2016	1482437916594177	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916595177	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916596679	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916597680	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916598179	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916599181	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916601181	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916601682	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916602682	0	6	6	0
Thu Dec 22 21:18:36 2016	1482437916603683	0	7	7	6
Thu Dec 22 21:18:36 2016	1482437916604684	1	6	7	5
Thu Dec 22 21:18:36 2016	1482437916605684	0	7	7	4
Thu Dec 22 21:18:36 2016	1482437916607185	2	5	7	1
Thu Dec 22 21:18:36 2016	1482437916609187	1	5	6	4
Thu Dec 22 21:18:36 2016	1482437916611189	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916612188	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916613691	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916614190	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916615692	0	3	3	3
Thu Dec 22 21:18:36 2016	1482437916616192	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916617192	0	8	8	1
Thu Dec 22 21:18:36 2016	1482437916617693	0	8	8	7
Thu Dec 22 21:18:36 2016	1482437916618693	0	8	8	6
Thu Dec 22 21:18:36 2016	1482437916619194	1	7	8	5
Thu Dec 22 21:18:36 2016	1482437916621195	3	4	7	1
Thu Dec 22 21:18:36 2016	1482437916625197	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916626200	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916627199	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916627699	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916628699	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916629701	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916630200	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916631202	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916632202	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916633202	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916633705	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916634703	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916635204	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916636705	0	3	3	3
Thu Dec 22 21:18:36 2016	1482437916637706	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916637706	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916638707	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916639207	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916640708	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916641708	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916642208	1	4	5	0
Thu Dec 22 21:18:36 2016	1482437916643709	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916644710	1	3	4	2
Thu Dec 22 21:18:36 2016	1482437916645711	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916646712	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916647213	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916648713	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916649214	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916650214	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916651215	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916652217	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916653215	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916654717	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916655220	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916656218	0	6	6	4
Thu Dec 22 21:18:36 2016	1482437916656719	1	5	6	3
Thu Dec 22 21:18:36 2016	1482437916658220	0	6	6	1
Thu Dec 22 21:18:36 2016	1482437916659219	1	5	6	4
Thu Dec 22 21:18:36 2016	1482437916661222	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916662221	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916663224	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916664223	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916665226	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916666226	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916667225	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916668227	1	3	4	2
Thu Dec 22 21:18:36 2016	1482437916669227	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916670227	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916671228	0	3	3	1
Thu Dec 22 21:18:36 2016	1482437916671228	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916673188	0	4	4	2
