starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:15:07 2016	1482437707771618	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707772619	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707773122	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707774121	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707774622	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707776122	0	2	2	2
Thu Dec 22 21:15:07 2016	1482437707775621	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707776623	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707777122	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707778123	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707778623	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707779123	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707780626	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707779625	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707781625	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707782125	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707782625	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707783126	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707784127	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707785127	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707785628	1	4	5	4
Thu Dec 22 21:15:07 2016	1482437707786628	1	4	5	3
Thu Dec 22 21:15:07 2016	1482437707787629	1	5	6	2
Thu Dec 22 21:15:07 2016	1482437707788629	1	5	6	1
Thu Dec 22 21:15:07 2016	1482437707789631	1	5	6	5
Thu Dec 22 21:15:07 2016	1482437707791131	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707794133	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707794635	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707795635	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707796635	1	1	2	1
